Row,min_med_conn_run,sec_med_conn_run,min_med_conn,sec_med_conn
sub01175,2,3,0.428,0.435
sub01176,2,1,0.412,0.417
sub01178,3,NaN,0.509,NaN
sub01179,3,4,0.403,0.422
sub01182,1,3,0.424,0.424
sub01187,1,2,0.439,0.447
sub01189,2,1,0.417,0.427
sub01192,1,NaN,0.443,NaN
sub01197,1,3,0.439,0.514
sub01199,4,1,0.428,0.438
sub01200,4,NaN,0.408,NaN
sub01204,4,2,0.427,0.431
sub01205,1,NaN,0.462,NaN
sub01206,1,2,0.443,0.481
sub01209,2,NaN,0.473,NaN
sub01210,1,NaN,0.492,NaN
sub01214,1,2,0.471,0.476
sub01215,2,1,0.427,0.482
sub01216,3,2,0.437,0.438
sub01218,1,2,0.438,0.454
sub01219,NaN,NaN,NaN,NaN
sub01220,1,3,0.412,0.422
sub01221,2,1,0.423,0.428
sub01223,2,NaN,0.416,NaN
sub01224,1,NaN,0.453,NaN
sub01225,1,NaN,0.475,NaN
sub01226,1,4,0.42,0.429
sub01228,3,2,0.438,0.455
sub01230,1,NaN,0.455,NaN
sub01231,2,4,0.407,0.409
sub01232,1,2,0.405,0.418
sub01234,4,2,0.392,0.397
sub01235,2,1,0.441,0.503
sub01237,2,3,0.431,0.445
sub01239,1,4,0.425,0.461
sub01241,1,NaN,0.484,NaN
sub01244,2,1,0.394,0.406
sub01248,1,2,0.413,0.425
sub01250,3,2,0.42,0.428
sub01253,NaN,NaN,NaN,NaN
sub01256,3,1,0.426,0.444
sub01257,1,2,0.412,0.418
sub01259,1,2,0.398,0.412
sub01260,2,3,0.427,0.444
sub01262,3,4,0.442,0.522
sub01267,1,2,0.439,0.469
sub01275,1,NaN,0.421,NaN
sub01277,4,3,0.4,0.432
sub01279,4,NaN,0.499,NaN
sub01281,1,NaN,0.514,NaN
sub01285,3,1,0.443,0.453
sub01288,2,1,0.504,0.529
sub01289,1,3,0.414,0.416
sub01292,4,2,0.46,0.476
sub01295,1,3,0.424,0.454
sub01296,1,NaN,0.423,NaN
sub01299,NaN,NaN,NaN,NaN
sub01303,2,NaN,0.433,NaN
sub01304,2,1,0.435,0.481
sub01305,1,NaN,0.467,NaN
sub01308,4,2,0.419,0.426
sub01312,2,3,0.404,0.408
sub01314,2,1,0.415,0.423
sub01316,2,3,0.403,0.403
sub01318,2,NaN,0.455,NaN
sub01320,4,3,0.399,0.405
sub01321,2,NaN,0.415,NaN
sub01326,3,4,0.421,0.479
sub01327,1,NaN,0.532,NaN
sub01328,3,2,0.406,0.411
sub01330,2,NaN,0.461,NaN
sub01331,1,2,0.444,0.477
sub01332,1,2,0.418,0.419
sub01333,1,3,0.505,0.508
sub01339,NaN,NaN,NaN,NaN
sub01343,1,2,0.422,0.469
sub01344,3,1,0.439,0.467
sub01345,2,NaN,0.495,NaN
